,X,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes,Budget,Sequel,Avg_rating_director,Avg_rating_lead
287,287,Ready Player One,140,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Steven Spielberg,Tye Sheridan,"447,189",175000000,0,7.222222222,7.4
288,288,Fury,134,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.5,David Ayer,Brad Pitt,"505,203",68000000,0,6.7,7.318181818
289,289,The Social Network,120,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.8,David Fincher,Jesse Eisenberg,"716,234",40000000,0,7.84,7.533333333
290,290,Watchmen,162,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Zack Snyder,Jackie Earle Haley,"559,443",120000000,0,6.866666667,7.6
291,291,American Hustle,138,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,David O. Russell,Christian Bale,"485,500",40000000,0,7,7.5625
292,292,The Handmaiden,145,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,8.1,Park Chan-wook,Kim Min-hee,"153,966",8000000,0,8.05,8.1
293,293,After We Collided,105,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,Roger Kumble,Josephine Langford,"33,691",14000000,0,5,5.15
294,294,Zombieland,88,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.6,Ruben Fleischer,Jesse Eisenberg,"588,968",23600000,0,6.833333333,7.533333333
295,295,Baby Driver,113,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Edgar Wright,Ansel Elgort,"556,964",34000000,1,7.56,7.4
296,296,Harry Potter and the Deathly Hallows: Part 1,146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.7,David Yates,Daniel Radcliffe,"561,922",250000000,1,7.257142857,7.6875
297,297,Deep Water,115,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.4,Adrian Lyne,Ben Affleck,"49,107",49000000,0,6.05,6.725
298,298,Margin Call,107,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.1,J.C. Chandor,Zachary Quinto,"136,425",3500000,0,6.75,7.1
299,299,Sin City,124,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,Frank Miller,Mickey Rourke,"775,918",40000000,0,8,8
300,300,The Father,97,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.2,Florian Zeller,Anthony Hopkins,"162,856",6000000,0,7.2,7.5
301,301,A Beautiful Mind,135,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.2,Ron Howard,Russell Crowe,"943,386",58000000,0,7.75,7.75
302,302,The Hunt,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.3,Thomas Vinterberg,Mads Mikkelsen,"337,151",14000000,0,8,8
303,303,Les Misérables,158,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,7.5,Tom Hooper,Hugh Jackman,"334,559",61000000,1,7.75,7.8
304,304,Gangs of New York,167,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,Martin Scorsese,Leonardo DiCaprio,"450,585",97000000,0,7.95,7.754545455
305,305,Ad Astra,123,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,James Gray,Brad Pitt,"243,137",90000000,0,6.5,7.318181818
306,306,Morbius,104,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.2,Daniel Espinosa,Jared Leto,"133,184",75000000,0,5.9,5.2
307,307,Deadpool 2,119,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,David Leitch,Ryan Reynolds,"596,112",110000000,1,7.166666667,7.12
308,308,Your Name.,106,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8.4,Makoto Shinkai,Ryunosuke Kamiki,"278,421",3000000,0,8.4,8.4
309,309,Harry Potter and the Order of the Phoenix,138,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.5,David Yates,Daniel Radcliffe,"595,181",150000000,1,7.257142857,7.6875
310,310,Hamilton,160,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,8.4,Thomas Kail,Lin-Manuel Miranda,"98,996",12500000,1,8.4,8.4
311,311,Terminator: Dark Fate,128,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,Tim Miller,Linda Hamilton,"182,390",185000000,1,7.1,6.2
312,312,Grown Ups,102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,Dennis Dugan,Adam Sandler,"257,869",80000000,0,5.866666667,6.444444444
313,313,White Chicks,109,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,Keenen Ivory Wayans,Marlon Wayans,"151,147",37000000,0,5.5,5.7
314,314,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.9,Andrew Adamson,Tilda Swinton,"406,922",180000000,0,7.366666667,6.8
315,315,Pan's Labyrinth,118,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,8.2,Guillermo del Toro,Ivana Baquero,"676,644",19000000,0,7.525,8.2
316,316,Howl's Moving Castle,119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.2,Hayao Miyazaki,Chieko Baisho,"405,149",24000000,0,8.4,8.2
317,317,Blue Is the Warmest Colour,180,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.7,Abdellatif Kechiche,Léa Seydoux,"155,838",4240000,0,7.7,7.7
318,318,Ant-Man and the Wasp,118,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Peyton Reed,Paul Rudd,"417,719",200000000,1,7.15,6.833333333
319,319,Baywatch,116,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,Seth Gordon,Dwayne Johnson,"191,486",69000000,1,5.5,6.455555556
320,320,Ex Machina,108,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.7,Alex Garland,Alicia Vikander,"555,703",15000000,0,7.25,7
321,321,Split,117,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7.3,M. Night Shyamalan,James McAvoy,"511,622",9000000,0,6.55,6.933333333
322,322,The Conjuring,112,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7.5,James Wan,Patrick Wilson,"519,232",20000000,0,7.04,7.5
323,323,The Day After Tomorrow,124,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,Roland Emmerich,Dennis Quaid,"456,852",125000000,0,5.933333333,6.4
324,324,Shrek,90,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Andrew Adamson,Mike Myers,"692,087",60000000,0,7.366666667,7.6
325,325,Uncut Gems,135,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.4,Benny Safdie,Adam Sandler,"291,734",19000000,0,7.4,6.444444444
326,326,Silver Linings Playbook,122,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.7,David O. Russell,Bradley Cooper,"717,701",21000000,0,7,7.35
327,327,The VVitch: A New-England Folktale,92,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6.9,Robert Eggers,Anya Taylor-Joy,"272,065",4000000,1,7.133333333,6.8
328,328,Scott Pilgrim vs. the World,112,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.5,Edgar Wright,Michael Cera,"436,002",33281690,0,7.56,7.55
329,329,The Intouchables,112,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.5,Olivier Nakache,François Cluzet,"872,534",10800000,0,8.5,8.5
330,330,Mulholland Drive,147,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.9,David Lynch,Naomi Watts,"363,419",15000000,0,7.9,7.533333333
331,331,Magic Mike XXL,115,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.6,Gregory Jacobs,Channing Tatum,"58,923",14800000,1,5.6,6.3
332,332,The Martian,144,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,Ridley Scott,Matt Damon,"870,019",108000000,0,7.211111111,7.22
333,333,About Time,123,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7.8,Richard Curtis,Domhnall Gleeson,"360,521",12000000,0,7.7,7.8
334,334,Ambulance,136,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Michael Bay,Jake Gyllenhaal,"79,828",40000000,0,6.316666667,7.033333333
335,335,Murder on the Orient Express,114,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Kenneth Branagh,Kenneth Branagh,"265,785",55000000,0,6.8,6.5
336,336,Knock Knock,99,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.9,Eli Roth,Keanu Reeves,"97,600",2500000,0,4.9,6.633333333
337,337,Jack Reacher,130,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Christopher McQuarrie,Tom Cruise,"347,484",60000000,0,7.366666667,7.16875
338,338,The Curious Case of Benjamin Button,166,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7.8,David Fincher,Brad Pitt,"662,227",150000000,0,7.84,7.318181818
339,339,Evil Dead,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.5,Fede Alvarez,Jane Levy,"177,600",17000000,1,6.5,6.5
340,340,This Is the End,107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.6,Evan Goldberg,James Franco,"419,428",32000000,0,6.6,6.6
341,341,The Imitation Game,114,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,8,Morten Tyldum,Benedict Cumberbatch,"782,687",14000000,0,7.5,7.3
342,342,Star Trek,127,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,J.J. Abrams,Chris Pine,"608,114",150000000,1,7.22,7.5
343,343,Murder Mystery,97,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Kyle Newacheck,Adam Sandler,"135,993",24000000,0,6,6.444444444
344,344,Star Trek Beyond,122,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Justin Lin,Chris Pine,"250,114",185000000,1,6.175,7.5
345,345,Annihilation,115,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6.8,Alex Garland,Natalie Portman,"334,996",40000000,0,7.25,7.333333333
346,346,Minions: The Rise of Gru,87,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Kyle Balda,Steve Carell,"70,916",80000000,1,6.5,7.22
347,347,Pitch Perfect,112,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.1,Jason Moore,Anna Kendrick,"312,528",17000000,0,6.25,6.766666667
348,348,Prometheus,124,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Ridley Scott,Noomi Rapace,"617,754",130000000,0,7.211111111,7
349,349,The Worst Person in the World,128,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.8,Joachim Trier,Renate Reinsve,"76,403",5600000,0,7.8,7.8
350,350,The French Dispatch,107,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.1,Wes Anderson,Benicio Del Toro,"128,961",25000000,0,7.7,7.05
351,351,Argo,120,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,7.7,Ben Affleck,Ben Affleck,"621,280",44500000,0,7.6,6.725
352,352,28 Days Later,113,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7.5,Danny Boyle,Cillian Murphy,"421,846",8000000,0,7.566666667,7.35
353,353,Ocean's Eleven,116,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.7,Steven Soderbergh,George Clooney,"585,756",85000000,0,6.9,7.266666667
354,354,Hustle,117,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.3,Jeremiah Zagar,Adam Sandler,"127,975",21000000,0,7.3,6.444444444
355,355,Zodiac,157,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.7,David Fincher,Jake Gyllenhaal,"555,045",65000000,0,7.84,7.033333333
356,356,Star Wars: Episode VII - The Force Awakens,138,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,J.J. Abrams,Daisy Ridley,"940,903",306000000,1,7.22,7.066666667
357,357,Bridge to Terabithia,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,7.2,Gabor Csupo,Josh Hutcherson,"162,373",17000000,0,7.2,7.2
358,358,Captain America: The First Avenger,124,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,Joe Johnston,Chris Evans,"857,320",140000000,0,6.9,7.216666667
359,359,The Power of the Dog,126,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6.8,Jane Campion,Benedict Cumberbatch,"180,270",37000000,0,6.8,7.3
360,360,The Girl on the Train,112,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Tate Taylor,Emily Blunt,"191,165",45000000,0,7.3,7.2
361,361,Apocalypto,139,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Mel Gibson,Gerardo Taracena,"317,954",40000000,0,7.7,7.8
362,362,Little Miss Sunshine,101,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Jonathan Dayton,Steve Carell,"490,775",8000000,0,7.8,7.22
363,363,Alita: Battle Angel,122,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,Robert Rodriguez,Rosa Salazar,"275,416",170000000,0,5.866666667,7.3
364,364,Revolutionary Road,119,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.3,Sam Mendes,Leonardo DiCaprio,"217,225",35000000,0,7.24,7.754545455
365,365,American Gangster,157,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.8,Ridley Scott,Denzel Washington,"433,102",100000000,0,7.211111111,7.18
366,366,Manchester by the Sea,137,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Kenneth Lonergan,Casey Affleck,"290,275",9000000,0,7.8,7.8
367,367,Enola Holmes,123,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,Harry Bradbeer,Millie Bobby Brown,"200,754",20000000,0,6.65,6.65
368,368,Wind River,107,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Taylor Sheridan,Elizabeth Olsen,"259,293",11000000,0,6.85,7.7
369,369,The Adam Project,106,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Shawn Levy,Ryan Reynolds,"209,608",116000000,0,6.733333333,7.12
370,370,Harry Potter and the Half-Blood Prince,153,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6,David Yates,Daniel Radcliffe,"558,347",250000000,1,7.257142857,7.6875
371,371,The Nice Guys,116,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,Shane Black,Russell Crowe,"337,504",50000000,0,7.2,7.75
372,372,Death Proof,127,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Quentin Tarantino,Kurt Russell,"297,506",30000000,0,7.883333333,7.05
373,373,Aquaman,143,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.8,James Wan,Jason Momoa,"484,804",160000000,0,7.04,6.75
374,374,Spider-Man: Homecoming,133,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Jon Watts,Tom Holland,"671,136",175000000,1,7.666666667,7.325
375,375,Belfast,98,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.3,Kenneth Branagh,Jude Hill,"79,094",25000000,0,6.8,7.3
376,376,Thor: Ragnarok,130,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Taika Waititi,Chris Hemsworth,"766,796",180000000,1,7.366666667,6.683333333
377,377,The Little Things,128,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3,John Lee Hancock,Denzel Washington,"109,471",30000000,0,7.033333333,7.18
378,378,San Andreas,114,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.1,Brad Peyton,Dwayne Johnson,"243,594",110000000,0,6.1,6.455555556
379,379,Orphan: First Kill,99,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.9,William Brent Bell,Isabelle Fuhrman,"36,901",10000000,1,5.9,5.9
380,380,Beast,93,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,Baltasar Kormákur,Liyabuya Gongo,"30,188",36000000,0,6.15,5.6
381,381,Jumanji: The Next Level,123,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Jake Kasdan,Dwayne Johnson,"258,909",125000000,1,6.8,6.455555556
382,382,The Maze Runner,113,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Wes Ball,Dylan O'Brien,"478,255",34000000,0,6.8,6.8
383,383,The Human Centipede (First Sequence),92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.4,Tom Six,Dieter Laser,"81,569",1600000,0,4.4,4.4
384,384,Wedding Crashers,119,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,David Dobkin,Owen Wilson,"362,633",40000000,0,7,7.3
385,385,The Square,151,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Ruben Östlund,Claes Bang,"70,768",5500000,0,7.233333333,7.1
386,386,Alice in Wonderland,108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.4,Tim Burton,Mia Wasikowska,"422,322",200000000,1,6.55,6.4
387,387,Moonfall,130,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,Roland Emmerich,Halle Berry,"85,425",140000000,0,5.933333333,5.1
388,388,The Girl Next Door,109,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.7,Luke Greenfield,Emile Hirsch,"228,574",21000000,0,6.7,7.4
389,389,Martyrs,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,Pascal Laugier,Morjana Alaoui,"98,299",4000000,0,7,7
390,390,Bridesmaids,125,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.8,Paul Feig,Kristen Wiig,"296,985",32500000,0,6.8,6.8
391,391,Lost in Translation,102,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Sofia Coppola,Bill Murray,"463,377",4000000,0,7.7,6.55
392,392,Into the Wild,148,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.1,Sean Penn,Emile Hirsch,"630,876",15000000,0,8.1,7.4
393,393,Sonic the Hedgehog 2,122,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Jeff Fowler,James Marsden,"71,489",110000000,1,6.5,6.5
394,394,Moulin Rouge!,127,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,7.6,Baz Luhrmann,Nicole Kidman,"289,559",50000000,0,7.366666667,7.6
395,395,Inside Out,95,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,Pete Docter,Amy Poehler,"727,353",175000000,0,8.125,8.1
396,396,Red Notice,118,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.3,Rawson Marshall Thurber,Dwayne Johnson,"285,368",200000000,0,6.666666667,6.455555556
397,397,Pirates of the Caribbean: Dead Men Tell No Tales,129,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5,Joachim Rønning,Johnny Depp,"320,196",230000000,1,6.5,7.04
398,398,Till,130,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7.1,Chinonye Chukwu,Danielle Deadwyler,"8,951",20000000,0,7.1,7.1
399,399,Valerian and the City of a Thousand Planets,136,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.4,Luc Besson,Dane DeHaan,"185,811",177000000,0,6.425,6.4
400,400,The Cabin in the Woods,95,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,Drew Goddard,Kristen Connolly,"427,245",30000000,0,7.05,7
401,401,Logan,137,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8.1,James Mangold,Hugh Jackman,"777,964",120000000,1,7.575,7.8
402,402,A Beautiful Day in the Neighborhood,109,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.2,Marielle Heller,Matthew Rhys,"83,157",25000000,0,7.2,7.2
403,403,Seven Psychopaths,110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Martin McDonagh,Colin Farrell,"264,029",14000000,0,7.7,7.45
404,404,Tangled,100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Nathan Greno,Mandy Moore,"463,636",260000000,0,7.7,7.7
405,405,Casino Royale,144,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,Martin Campbell,Daniel Craig,"666,544",150000000,1,6.85,7.542857143
406,406,Passengers,116,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,Morten Tyldum,Jennifer Lawrence,"416,449",110000000,0,7.5,6.857142857
407,407,Nocturnal Animals,116,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.5,Tom Ford,Amy Adams,"286,495",22500000,0,7.5,6.9
408,408,The Lighthouse,109,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7.4,Robert Eggers,Robert Pattinson,"226,016",11000000,0,7.133333333,7.6
409,409,The Fast and the Furious,106,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.8,Rob Cohen,Vin Diesel,"393,070",38000000,0,6,6.457142857
410,410,The 40-Year-Old Virgin,116,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.1,Judd Apatow,Steve Carell,"446,357",26000000,0,6,7.22
411,411,Army of the Dead,148,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.7,Zack Snyder,Dave Bautista,"176,586",7000000,1,6.866666667,5.7
412,412,The Devil Wears Prada,109,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.9,David Frankel,Anne Hathaway,"430,320",35000000,0,6.9,6.7
413,413,Bombshell,109,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.8,Jay Roach,Charlize Theron,"118,888",32000000,0,6.8,6.7
414,414,The Blind Side,129,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,7.6,John Lee Hancock,Quinton Aaron,"340,383",29000000,0,7.033333333,7.6
415,415,Dawn of the Dead,101,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.3,Zack Snyder,Sarah Polley,"260,404",26000000,0,6.866666667,7.3
416,416,War of the Worlds,116,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Steven Spielberg,Tom Cruise,"456,674",132000000,0,7.222222222,7.16875
417,417,She's the Man,105,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.3,Andy Fickman,Amanda Bynes,"164,389",20000000,0,6.3,6.3
418,418,Now You See Me,115,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.2,Louis Leterrier,Jesse Eisenberg,"672,109",75000000,0,7.2,7.533333333
419,419,Oblivion,124,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Joseph Kosinski,Tom Cruise,"534,400",120000000,0,6.9,7.16875
420,420,Sunshine,107,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.2,Danny Boyle,Cillian Murphy,"255,056",40000000,0,7.566666667,7.35
421,421,Minority Report,145,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Steven Spielberg,Tom Cruise,"561,267",102000000,0,7.222222222,7.16875
422,422,Memories of Murder,132,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.1,Bong Joon Ho,Song Kang-ho,"191,858",2800000,0,7.9,7.933333333
423,423,Man of Steel,143,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Zack Snyder,Henry Cavill,"780,985",225000000,0,6.866666667,7.433333333
424,424,"Crazy, Stupid, Love.",118,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.4,Glenn Ficarra,Steve Carell,"529,484",50000000,0,7.4,7.22
425,425,The Incredibles,115,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Brad Bird,Craig T. Nelson,"752,090",92000000,0,7.833333333,8
426,426,WALL·E,98,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,Andrew Stanton,Ben Burtt,"1,131,559",180000000,0,8.3,8.4
427,427,The Tomorrow War,138,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Chris McKay,Chris Pratt,"210,948",200000000,0,6.5,6.914285714
428,428,It Chapter Two,169,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Andy Muschietti,Jessica Chastain,"274,750",79000000,1,6.9,6.7
429,429,Atonement,123,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.8,Joe Wright,Keira Knightley,"284,855",30000000,0,7.8,7.8
430,430,Finding Nemo,100,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.2,Andrew Stanton,Albert Brooks,"1,057,153",94000000,0,8.3,8.2
431,431,Army of Thieves,127,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.4,Matthias Schweighöfer,Matthias Schweighöfer,"80,697",7000000,0,6.4,6.4
